Student_ID,Sub1,Sub2,Sub3,Sub4
S415,54,88,45,91
S416,46,63,71,85
S417,94,69,45,89
S418,66,64,76,76
S419,68,57,70,75
S420,74,58,54,60
S421,82,84,85,90
S422,60,47,77,54
S423,89,94,58,72
S424,56,58,54,56
S425,68,78,57,51
S426,83,45,82,52
S427,94,72,82,54
S428,83,85,61,77
S429,93,53,60,50
S430,49,82,55,71
S431,67,90,84,60
S432,55,69,90,80
S433,72,83,81,92
S434,73,63,73,59
S435,84,94,83,75
S436,49,72,65,66
S437,67,75,91,45
S438,76,80,66,61
S439,65,94,50,84
S440,59,61,90,87
S441,72,53,81,77
S442,65,86,65,80
S443,87,55,78,62
S444,58,85,48,88
S445,90,53,51,90
S446,61,63,91,56
S447,72,93,70,62
S448,51,78,65,53
S449,71,62,76,91
S450,79,62,53,86
S451,82,73,56,69
S452,83,78,75,49
S453,86,49,93,90
S454,72,69,45,79
S455,52,78,70,67
S456,59,70,61,58
S457,53,68,64,61
S458,94,54,83,78
S459,77,64,94,83
S460,49,88,62,73
S461,70,49,57,92
S462,78,68,55,73
S463,85,48,46,50
S464,59,64,69,87
S465,72,47,69,70
S466,92,53,75,84
S467,93,57,81,67
S468,83,63,48,90
S469,85,59,80,85
S470,66,88,92,50
S471,75,89,52,79
S472,50,56,89,78
S473,78,46,75,87
S474,67,52,66,93
S475,78,87,89,46
S476,46,90,51,46
S477,80,54,93,59
S478,64,90,82,68
S479,78,47,80,56
S480,46,90,90,63
S481,83,71,94,84
S482,72,83,85,56
S483,60,78,69,76
S484,60,54,52,45
S485,81,54,93,62
S486,47,92,61,91
S487,65,79,87,69
S488,67,74,66,82
S489,86,94,55,87
S490,68,83,49,48
S491,52,59,91,81
S492,62,84,78,90
S493,87,65,45,45
S494,61,89,76,76
S495,89,61,73,56
S496,73,61,56,93
S497,85,84,87,49
S498,77,70,60,62
S499,61,51,75,66
S500,79,68,45,82
S501,70,92,83,58
S502,48,74,56,57
S503,64,73,86,65
S504,61,85,53,73
S505,64,50,60,74
S506,75,75,82,92
S507,62,61,57,82
S508,66,88,46,51
S509,84,76,94,56
S510,91,81,54,52
S511,77,71,82,58
S512,66,57,52,75
S513,75,86,75,60
S514,52,67,85,52
S515,92,68,59,53
S516,89,68,87,48
S517,92,51,61,73
S518,85,45,92,92
S519,89,76,86,66
S520,65,67,79,93
S521,66,94,54,54
S522,93,54,76,68
S523,84,80,89,79
S524,63,75,81,73
S525,78,92,45,75
S526,78,59,86,59
S527,54,68,63,85
S528,78,87,74,88
S529,91,72,80,63
S530,48,80,76,64
S531,72,74,59,51
S532,54,79,65,72
S533,90,65,55,87
S534,67,59,68,66
S535,91,61,74,75
S536,67,53,48,50
S537,45,90,76,55
S538,60,57,70,51
S539,70,54,74,64
S540,83,88,75,94
S541,62,91,85,75
S542,59,82,51,50
S543,69,87,87,84
S544,77,71,74,59
S545,84,68,50,45
S546,87,91,93,68
S547,67,89,55,89
S548,58,49,90,53
S549,65,56,74,58
S550,65,62,73,62
S551,64,66,58,84
S552,65,73,90,75
S553,82,79,51,94
S554,77,68,86,54
S555,81,73,74,62
S556,60,49,84,71
S557,74,92,85,59
S558,62,84,51,69
S559,64,63,66,76
S560,74,87,94,63
S561,76,45,59,80
S562,48,71,55,84
S563,83,49,90,87
S564,65,77,74,93
S565,78,52,68,77
S566,60,78,54,83
S567,59,64,52,57
S568,78,62,66,80
S569,70,58,73,53
S570,62,73,59,64
S571,56,69,90,69
S572,77,62,86,76
S573,90,67,94,84
S574,86,51,93,80
S575,81,75,61,87
S576,78,52,88,48
S577,68,70,84,49
S578,57,64,78,45
S579,76,48,88,63
S580,55,81,57,55
S581,55,93,46,50
S582,50,72,73,73
S583,90,83,62,47
S584,46,68,83,56
S585,53,65,88,49
S586,74,70,52,83
S587,59,64,80,77
S588,49,59,48,74
S589,47,57,77,65
S590,82,74,73,70
S591,47,56,91,64
S592,89,69,82,56
S593,74,77,93,55
S594,45,50,79,73
S595,85,46,73,86
S596,58,90,81,61
S597,76,73,50,94
S598,75,61,73,53
S599,51,63,82,87
S600,80,90,45,62
S601,64,94,47,59
S602,68,49,91,57
S603,63,52,49,69
S604,72,82,46,55
S605,61,85,86,59
S606,92,69,79,86
S607,57,45,83,75
S608,70,51,82,46
S609,62,85,72,74
S610,58,81,51,63
S611,79,82,84,63
S612,73,69,59,80
S613,78,70,72,58
S614,63,87,77,66
S615,72,61,92,93
S616,52,56,73,54
S617,77,67,55,87
S618,65,86,93,58
S619,60,90,87,53
S620,56,71,51,70
S621,63,76,77,88
S622,45,67,49,91
S623,77,54,71,48
S624,56,67,55,77
S625,71,78,55,46
S626,91,52,48,77
S627,78,54,53,79
S628,80,71,84,49
S629,89,65,89,57
S630,94,92,57,46
S631,83,85,70,47
S632,87,81,59,67
S633,93,89,46,46
S634,55,46,64,55
S635,54,74,88,59
S636,81,74,63,55
S637,91,64,68,81
S638,50,74,48,51
S639,62,72,75,86
S640,91,65,70,50
S641,83,92,45,94
S642,70,89,46,89
S643,89,47,62,62
S644,84,73,47,75
S645,73,51,86,76
S646,70,61,76,89
S647,77,81,50,55
S648,46,68,91,73
S649,51,54,51,74
S650,61,64,82,87
S651,87,80,67,83
S652,81,73,67,62
S653,45,68,87,58
S654,57,58,93,48
S655,79,47,47,77
S656,52,63,53,89
S657,72,54,88,46
S658,53,70,64,49
S659,61,80,76,56
S660,60,84,80,85
S661,58,70,47,45
S662,73,63,55,53
S663,67,49,50,62
S664,57,91,62,50
S665,77,93,89,59
S666,92,68,52,72
S667,48,78,48,94
S668,56,81,79,88
S669,94,49,57,92
S670,54,46,57,69
S671,51,89,85,79
S672,54,70,63,46
S673,58,78,89,81
S674,92,69,57,91
S675,63,60,49,67
S676,72,45,68,51
S677,76,52,83,86
S678,70,58,68,53
S679,55,63,90,60
S680,88,66,94,72
S681,94,67,57,65
S682,57,89,58,74
S683,52,64,59,76
S684,60,47,65,46
S685,56,82,83,51
S686,45,52,65,71
S687,57,62,62,49
S688,93,73,71,45
S689,84,76,81,73
S690,50,84,75,65
S691,77,46,57,64
S692,47,49,85,59
S693,87,79,84,66
S694,49,53,47,91
S695,86,68,83,49
S696,72,56,53,67
S697,79,47,89,53
S698,59,70,72,54
S699,74,80,45,46
S700,61,92,62,94
S701,67,65,62,72
S702,51,65,68,79
S703,47,45,86,94
S704,60,57,62,46
S705,58,60,80,62
S706,85,77,90,61
S707,60,66,56,66
S708,74,93,92,55
S709,61,45,51,90
S710,63,81,80,87
S711,70,79,70,82
S712,67,66,78,90
S713,84,52,68,56
S714,61,47,63,74
S715,83,79,91,56
S716,88,49,59,52
S717,87,46,53,69
S718,48,69,65,48
S719,75,77,63,70
S720,53,91,53,48
S721,56,67,54,75
S722,49,62,87,55
S723,78,58,63,67
S724,57,61,70,91
S725,94,48,52,88
S726,50,66,63,76
S727,84,66,67,79
S728,75,66,47,63
S729,47,64,49,54
S730,74,89,74,90
S731,90,94,58,63
S732,45,82,79,82
S733,85,77,72,68
S734,82,73,48,67
S735,83,79,94,57
S736,60,91,60,61
S737,48,77,71,73
S738,82,47,81,53
S739,56,53,67,53
S740,92,91,53,91
S741,88,75,66,45
S742,63,71,93,74
S743,47,80,67,62
S744,94,66,62,87
S745,68,51,92,46
S746,74,59,82,52
S747,46,48,79,90
S748,58,60,82,48
S749,63,93,92,79
S750,63,69,94,78
S751,61,50,75,74
S752,85,55,53,70
S753,85,47,61,46
S754,87,72,86,49
S755,50,84,58,68
S756,45,59,57,66
S757,61,67,93,80
S758,74,80,70,54
S759,69,65,53,58
S760,76,54,64,64
S761,77,78,60,79
S762,85,81,90,83
S763,54,61,75,51
S764,91,64,61,45
S765,62,69,67,94
S766,91,55,85,76
S767,57,50,85,71
S768,93,74,51,68
S769,50,45,57,85
S770,52,60,70,85
S771,80,90,90,53
S772,61,62,52,58
S773,68,85,54,61
S774,88,59,85,86
S775,78,76,56,87
S776,68,45,76,46
S777,69,60,62,65
S778,90,79,48,70
S779,80,65,75,70
S780,53,92,63,58
S781,55,93,66,68
S782,59,85,71,89
S783,61,53,75,63
S784,58,65,53,79
S785,83,94,52,56
S786,89,56,64,79
S787,48,94,60,50
S788,73,63,80,75
S789,57,46,58,71
S790,81,59,70,47
S791,72,68,85,57
S792,67,94,73,89
S793,78,62,74,65
S794,72,73,47,86
S795,71,45,56,60
S796,65,53,47,83
S797,74,81,81,86
S798,90,78,61,79
S799,45,85,88,45
S800,74,76,63,49
S801,63,69,86,92
S802,86,77,45,49
S803,52,75,71,70
S804,84,76,73,56
S805,85,65,59,63
S806,51,87,84,85
S807,92,92,47,91
S808,46,65,70,88
S809,67,45,55,59
S810,59,49,59,71
S811,91,50,88,54
S812,66,57,74,88
S813,66,45,87,55
S814,48,67,63,70
S815,68,81,92,47
S816,62,70,47,83
S817,60,60,47,93
S818,62,62,77,55
S819,47,66,61,74
S820,57,76,57,76
S821,67,67,79,66
S822,91,79,59,60
S823,77,70,92,71
S824,51,68,55,69
S825,59,48,79,72
S826,68,79,88,46
S827,92,84,53,87
S828,88,93,82,83
S829,93,61,84,79
S830,89,45,92,63
S831,88,85,84,58
S832,53,76,91,92
S833,52,75,49,52
S834,91,74,88,89
S835,93,46,68,84
S836,76,47,62,91
S837,87,52,73,70
S838,72,87,84,87
S839,88,74,92,56
S840,73,46,77,52
S841,85,75,76,47
S842,53,71,65,85
S843,65,57,62,81
S844,65,56,87,72
S845,61,87,93,72
S846,76,49,84,59
S847,52,61,60,60
S848,62,66,85,88
S849,61,64,78,69
S850,89,48,92,87
S851,55,52,59,86
S852,63,45,70,60
S853,90,87,60,78
S854,52,67,50,54
S855,61,76,50,73
S856,80,90,79,82
S857,73,64,86,79
S858,85,72,62,69
S859,79,68,49,90
S860,62,52,79,74
S861,84,79,74,87
S862,92,58,78,81
S863,76,48,62,69
S864,84,63,56,48
S865,48,94,68,55
S866,49,53,47,84
S867,91,47,94,77
S868,71,58,65,59
S869,87,45,90,77
S870,47,79,78,93
S871,81,65,46,80
S872,84,94,45,78
S873,47,64,61,80
S874,56,90,51,46
S875,87,54,66,87
S876,84,70,88,71
S877,82,65,56,51
S878,68,63,50,50
S879,63,81,84,82
S880,83,56,83,64
S881,78,80,85,81
S882,52,89,66,88
S883,86,52,56,47
S884,74,82,68,84
S885,92,70,83,73
S886,69,46,60,77
S887,89,78,53,48
S888,62,45,85,47
S889,77,89,92,65
S890,55,79,71,84
S891,84,64,52,67
S892,63,67,94,80
S893,67,54,84,50
S894,52,52,69,61
S895,58,50,54,46
S896,56,59,61,63
S897,54,71,54,94
S898,81,55,59,54
S899,83,72,65,58
S900,94,88,84,79
S901,72,91,57,57
S902,84,70,92,72
S903,56,93,49,66
S904,63,48,81,68
S905,86,80,81,69
S906,63,89,51,66
S907,74,56,53,90
S908,70,72,62,93
S909,57,66,86,80
S910,45,78,49,62
S911,89,80,77,69
S912,90,72,92,73
S913,62,49,82,47
S914,49,51,77,74
S915,50,59,61,63
S916,66,56,74,67
S917,78,65,68,72
S918,88,54,56,59
S919,85,50,46,74
S920,73,89,82,87
S921,51,56,87,83
S922,84,78,84,84
S923,90,62,62,93
S924,50,62,66,47
S925,85,91,47,45
S926,84,80,84,81
S927,54,45,62,59
S928,87,91,74,55
S929,78,77,79,46
S930,85,94,90,67
S931,49,55,65,58
S932,94,55,92,47
S933,84,69,47,72
S934,47,83,49,65
S935,91,67,64,58
S936,61,85,51,93
S937,74,58,66,73
S938,85,94,62,79
S939,76,80,70,86
S940,94,47,88,68
S941,80,64,59,67
S942,91,94,70,64
S943,80,51,48,55
S944,91,61,79,69
S945,55,55,79,45
S946,87,78,68,85
S947,46,65,63,90
S948,46,87,54,46
S949,69,61,50,73
S950,56,64,65,69
S951,53,50,73,77
S952,87,64,62,45
S953,84,86,88,62
S954,71,63,59,70
S955,64,83,85,74
S956,75,79,64,80
S957,94,80,78,54
S958,54,68,58,52
S959,89,66,66,82
S960,79,87,64,72
S961,58,87,53,77
S962,77,94,90,67
S963,66,82,70,85
S964,87,74,61,46
S965,51,50,45,51
S966,65,77,74,52
S967,90,89,80,53
S968,86,91,52,78
S969,63,86,92,52
S970,76,50,75,93
S971,78,55,47,57
S972,74,75,92,46
S973,54,72,52,67
S974,46,57,54,72
S975,83,53,58,58
S976,51,83,77,46
S977,84,51,75,68
S978,80,91,61,66
S979,84,71,62,91
S980,55,63,57,47
S981,54,90,71,81
S982,77,75,47,88
S983,68,94,84,92
S984,67,71,71,70
S985,64,70,77,59
S986,84,74,81,63
S987,69,47,78,59
S988,68,61,49,83
S989,56,68,64,53
S990,65,82,88,69
S991,83,54,78,62
S992,88,77,52,50
S993,73,72,74,47
S994,49,49,55,62
S995,77,65,91,89
S996,68,73,50,75
S997,94,63,87,72
S998,54,52,82,74
S999,75,79,76,68
S1000,94,94,88,84
S1001,85,94,75,80
S1002,66,49,69,57
S1003,78,50,77,89
S1004,62,78,67,45
S1005,91,71,91,74
S1006,56,72,93,51
S1007,91,87,94,59
S1008,62,68,88,61
S1009,64,62,53,89
S1010,66,47,72,61
S1011,50,69,67,62
S1012,82,60,57,64
S1013,90,56,81,49
S1014,50,60,80,92
S1015,78,78,58,88
S1016,69,61,45,65
S1017,93,68,57,81
S1018,52,81,61,71
S1019,94,53,90,71
S1020,79,61,55,80
S1021,52,75,74,54
S1022,66,55,45,73
S1023,53,84,76,93
S1024,55,64,77,85
S1025,93,50,80,89
S1026,91,88,58,72
S1027,74,74,72,45
S1028,76,73,63,86
S1029,88,71,77,67
S1030,52,45,65,75
S1031,47,60,52,73
S1032,55,54,66,67
S1033,64,65,83,67
S1034,61,79,66,87
S1035,69,57,81,62
S1036,93,78,54,69
S1037,82,85,64,71
S1038,76,45,58,85
S1039,50,91,93,77
S1040,87,94,58,61
S1041,69,90,48,92
S1042,81,66,49,70
S1043,50,83,47,69
S1044,89,79,65,57
S1045,72,70,53,87
S1046,49,78,60,94
S1047,65,77,87,58
S1048,53,84,62,91
S1049,54,74,68,68
S1050,71,88,48,77
S1051,45,78,77,92
S1052,78,51,69,77
S1053,52,89,72,67
S1054,67,78,54,71
S1055,84,66,83,59
S1056,50,47,74,75
S1057,61,52,68,87
S1058,67,51,83,93
S1059,88,88,54,94
S1060,82,82,63,85
S1061,84,66,51,79
S1062,59,56,50,52
S1063,51,60,67,81
S1064,67,78,47,90
S1065,49,49,57,56
S1066,50,78,47,59
S1067,84,50,68,89
S1068,93,70,87,89
S1069,74,79,94,49
S1070,56,79,75,51
S1071,90,86,90,76
S1072,55,70,55,80
S1073,57,89,68,64
S1074,45,61,67,67
S1075,57,72,59,92
S1076,53,51,50,55
S1077,70,94,57,81
S1078,81,51,58,53
S1079,73,48,72,68
S1080,67,54,46,93
S1081,45,92,62,87
S1082,69,50,53,88
S1083,49,78,73,69
S1084,80,55,85,55
S1085,51,67,49,68
S1086,74,51,79,74
S1087,55,51,71,90
S1088,79,65,57,66
S1089,77,48,80,81
S1090,68,90,83,71
S1091,50,51,51,52
S1092,80,52,47,45
S1093,51,74,62,91
S1094,55,77,58,71
S1095,65,68,91,63
S1096,48,82,65,49
S1097,50,46,48,67
S1098,82,58,87,59
S1099,56,88,67,76
S1100,56,53,51,80
S1101,59,65,76,81
S1102,68,79,72,69
S1103,52,46,70,67
S1104,76,81,69,90
S1105,66,46,85,48
S1106,66,92,86,80
S1107,73,46,73,45
S1108,64,90,75,82
S1109,65,56,53,69
S1110,50,52,94,48
S1111,47,45,83,68
S1112,85,75,49,81
S1113,74,66,48,91
S1114,84,94,86,88
S1115,64,63,76,75
S1116,66,84,66,64
S1117,66,47,64,88
S1118,79,54,76,46
S1119,82,52,70,75
S1120,49,53,79,62
S1121,93,91,94,73
S1122,60,64,94,91
S1123,51,46,90,69
S1124,49,45,90,82
S1125,75,67,79,61
S1126,62,85,90,93
S1127,90,63,73,59
S1128,80,77,58,66
S1129,88,48,63,64
S1130,94,86,93,53
S1131,90,47,71,46
S1132,78,77,94,83
S1133,81,76,75,65
S1134,60,77,85,50
S1135,90,68,93,85
S1136,67,51,65,74
S1137,70,78,85,64
S1138,52,76,72,87
S1139,53,45,73,91
S1140,93,74,92,81
S1141,63,72,94,90
S1142,84,52,72,56
S1143,84,55,79,71
S1144,60,75,79,76
S1145,69,87,94,87
S1146,57,61,54,66
S1147,63,73,45,89
S1148,84,93,70,83
S1149,46,73,54,57
S1150,66,69,54,64
S1151,75,77,48,91
S1152,56,57,88,53
S1153,82,68,80,54
S1154,62,63,58,76
S1155,83,80,64,70
S1156,69,62,49,94
S1157,74,49,89,72
S1158,85,49,68,60
S1159,58,48,67,63
S1160,65,61,57,91
S1161,65,47,71,81
S1162,69,78,64,60
S1163,48,57,85,69
S1164,55,52,65,60
S1165,50,92,88,75
S1166,70,67,78,68
S1167,83,70,68,74
S1168,85,66,59,51
S1169,94,45,77,80
S1170,89,58,82,72
S1171,45,81,61,85
S1172,65,79,51,67
S1173,59,79,85,87
S1174,73,84,79,50
S1175,46,84,93,91
S1176,89,64,56,71
S1177,47,54,94,70
S1178,85,60,76,48
S1179,68,75,64,82
S1180,46,91,86,46
S1181,94,87,46,60
S1182,77,75,53,92
S1183,48,74,92,46
S1184,72,61,61,52
S1185,55,63,71,84
S1186,72,86,70,50
S1187,74,81,88,89
S1188,59,91,74,60
S1189,67,92,73,92
S1190,53,48,82,52
S1191,55,47,72,69
S1192,53,82,94,62
S1193,85,53,84,59
S1194,86,61,56,49
S1195,91,50,49,57
S1196,47,70,56,85
S1197,71,90,68,80
S1198,94,51,77,85
S1199,55,85,48,81
S1200,84,58,46,75
S1201,94,64,77,63
S1202,74,50,58,92
S1203,87,88,78,68
S1204,52,78,75,76
S1205,73,87,66,76
S1206,75,71,93,56
S1207,86,67,79,89
S1208,93,90,65,48
S1209,49,93,45,67
S1210,87,77,53,93
S1211,60,72,62,74
S1212,50,72,84,73
S1213,51,78,88,64
S1214,48,49,82,67
S1215,57,93,63,79
S1216,57,81,85,91
S1217,51,88,45,47
S1218,64,81,74,62
S1219,49,58,87,78
S1220,68,57,93,57
S1221,70,46,89,55
S1222,80,55,67,47
S1223,51,73,86,74
S1224,72,48,68,90
S1225,47,71,83,51
S1226,50,89,63,86
S1227,45,77,64,75
S1228,48,88,57,77
S1229,84,51,58,65
S1230,76,48,62,49
S1231,63,81,89,68
S1232,69,53,47,85
S1233,53,51,85,77
S1234,72,76,88,60
S1235,69,92,86,82
S1236,69,55,90,90
S1237,91,86,46,75
S1238,79,57,59,73
S1239,89,83,70,91
S1240,58,72,87,66
S1241,84,53,88,94
S1242,87,55,59,55
S1243,88,66,48,92
S1244,59,53,78,70
S1245,46,47,46,49
